जबकि यह जैनों से कम है।	Jabki yah Jainon se km hai.
फ्रैंक पी. पोपोफ़: पूर्व चेयरमैन रासायनिक वित्तीय कार्पोरेशन	Franck P. Popof: purv chairman Rasaynik Vittiy Corporation
शास्त्रीजी ने अप्रत्याशित रूप से हुए इस युद्ध में नेहरू के मुकाबले राष्ट्र को उत्तम नेतृत्व प्रदान किया और पाकिस्तान को करारी शिकस्त दी।	Shastriji ne apratyashit roop se huye is yuddha men Nehru ke mukabale rashtr ko uttam netrutv pradan kiya aur Pakisthan ko karari shikast di.
इधर उड़ीसा में पहले से ही 'अठारहगढ़' नाम प्रचलित था।	idhar Udisa men pahle se hi 'Atharahgadh' naam prachlit tha.
डेप ने जवाब दिया, "देखो, ये विकल्प हैं जो मैंने बनाया है। आप मेरा काम जानते हैं। इसीलिये या तो मुझ पर विश्वास कीजिये या बाहर निकाल दीजिये."	Dep ne javab diya ,"dekho, ye vikalp hain jo maine banaya hai. Aap mera kaam jante hai. Isiliye ya to mujh par viswas kijiye ya bahar nikal dijiye."
घिरनी जिस ओर भारी होती है उसके दूसरी ओर उतना ही वजन बाँधकर इसका तोलन ठीक कर लिया जाता है।	ghirni jis aur bhari hoti hai uske dusri aur utna hi vajan bandhkar iska tolan thik kar liya jata hai.
आनुवांशिकता के लिहाज से भी इन पेड़ों में काफी समानता देखने को मिली है।	aanuvanshikta ke lihaj se bhi in pedon men kafi samanta dekhane ko mili hai.
यह सामान्य अवसाद से अलग है और इसमें व्यक्ति एक प्रकार से अक्षम बनाने वाला मनोरोग है जो व्यक्ति के परिवार, कार्य, स्कूल, सोने एवं खाने की आदतों तथा सामान्य स्वास्थ्य को बुरी तरह प्रभावित करता है।	yah samany avsaad se alag hai aur ismen vyakti ek prakar se aksham banane wala Manorog hai jo vyakti ke parivar, kary, School, Sone avm khane ki aadton tatha samanya swasthy ko buri tarah prabhavit karta hai.
सोवियत नेतृत्व और फिल्म निर्माताओं के लिए फिल्मों का उत्पादन - किस प्रकार और किन परिस्थितियों केअंतर्गत वो बनती हैं - अति महत्वपूर्ण था?	Soviat netrutw aur film nirmataon ke liye filmon ka utpadan - kis prakar aur kin paristhiyon keantargat wo banti hain. - ati mahatwpurn tha?
प्रत्ययों की समानता और असमानता के आधार पर जो निर्णय बनते हैं, उनके बनाने में मन उन्हें गुण, परिमाण, संबंध और आकार के सूत्रों में बाँधता है।	pratyayon ki samanata aur asamanta ke aadar par jo nirnay bante hain, unke banane men man unhen gun, parimaan, sambandh aur aakar ke sutron main bandhta hai.
कुंभ राशि में जन्मे लोग संभावनाओं से भरी एक जगह के रूप में दुनिया को देखते हैं।	Kumbh rashi men janme log sambhavnaon se bhari ek jagah ke roop men duniya ko dekhte hain.
आकाशवाणी की बहुत भषाओं में विभिन्न सेवाएं हैं जो प्रत्येक देश भर के विभिन्न क्षेत्रों में कार्यरत हैं।	Aakashwani ki bahut bhashaon men vibhinn shewayen hain jo pratyek desh bhar ke vibhinn shetron men karyrat hain.
श्री जयसिंहवर्मन्, के राज्यकाल में, जिसने सिंहासन प्राप्त करने के बाद अपना नाम इंद्रवर्मन् रखा, मंगोल विजेता कुब्ले खाँ ने १२८२ ई.	Shri Jaysihnvarman, ke rajykaal men, jisne sihansan prapt karne ke baad apna naam Indravarman rakha, Mangol vijeta Kuble Kha ne 1282 E.
